Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
1999,NJN,Gheorghe Muresan,27,1,1,-90.6,0,0,0,0,0,0,0,0,0,50,88.3,-0.1
2016,IND,Shayne Whittington,24,1,2,-64.6,0,0,0,0,0,0,0,0,0,100,44.4,-0.1
1979,DET,Ron Behagen,28,1,1,-60.3,,,,0,0,0,0,0,0,100,38.1,0
2001,CLE,Larry Robinson,33,1,1,-54.4,,,,0,0,0,0,0,0,100,45.2,0
2006,DEN,Nene Hilario,23,1,3,-54.4,0,0,0,0,0,0,0,0,0,66.7,44.8,-0.1
1987,ATL,Michael Wilson,27,2,2,-49.6,0,0,0,0,0,0,57.4,0,0,33.3,61.7,-0.1
2007,NJN,Mile Ilic,22,5,6,-48.6,0,0,0,0,19.5,9.8,0,0,0,50,46.6,-0.2
1999,TOR,LaMark Baker,29,1,2,-46.6,0,0,0,0,0,0,0,0,0,50,45.4,-0.1
1989,SEA,Mike Champion,24,2,4,-43.7,0,0.333,0,0,0,0,0,0,0,25,39.8,-0.1
2015,UTA,Toure' Murry,25,1,1,-41.7,0,0,0,0,0,0,0,0,0,0,45.8,0
2007,LAC,Von Wafer,21,1,1,-40.7,0,1,0,0,0,0,0,0,0,0,46.2,0
2014,CHA,James Southerland,23,1,3,-40.6,0,0.333,0,0,0,0,0,0,0,0,46.2,-0.1
1989,SAS,John Stroeder,30,1,2,-38.8,,,,0,0,0,0,0,0,100,19.4,0
2010,CLE,Coby Karl,26,3,5,-38.1,,,,0,45.4,23.8,0,0,0,100,37.3,-0.1
1995,NJN,Yinka Dare,22,1,3,-33.9,0,0,0,0,36.6,18.2,0,0,0,50,29.3,0
1993,LAC,Alex Stivrins,30,1,1,-32.3,0,0,0,0,0,0,0,0,0,0,41.2,0
1986,PHI,Michael Young,25,2,2,-32.2,0,0,0,0,0,0,0,0,0,0,40.3,0
1986,DET,Ron Crevier,27,2,3,-31.9,0,0,1,34.6,0,17.7,0,0,0,0,37.6,0
1986,GSW,Ron Crevier,27,1,1,-31.1,0,0,0,0,0,0,0,0,0,0,39.3,0
1989,LAC,Barry Sumpter,23,1,1,-30.2,0,0,0,0,0,0,0,0,0,0,39.4,0
2013,BOS,Darko Milicic,27,1,5,-30.2,0,0,0,0,22.9,11.8,0,0,0,66.7,28.4,-0.1
1978,CHI,Glenn Hansen,25,2,4,-28.8,0,,0,0,0,0,0,0,0,33.3,30.3,-0.1
2006,DEN,Charles Smith,30,1,2,-28.1,0,1,0,0,0,0,0,0,0,0,22.4,0
2003,ATL,Paul Shirley,25,2,5,-28,0,0,0,0,21.9,11.4,0,0,0,0,36.7,-0.1
2010,BOS,Marcus Landry,24,1,3,-26.8,0,1,0,0,0,0,0,0,0,0,31.3,0
2016,WAS,DeJuan Blair,26,2,12,-26.5,0,0,0,18.5,9.3,13.9,0,3.9,0,71.4,24.6,-0.1
2009,PHO,Courtney Sims,25,1,2,-26,,,,0,0,0,0,0,0,100,22,0
2000,LAC,Mario Bennett,26,1,3,-25.5,0,0,0,36,38.5,37.2,0,0,0,0,44.4,-0.1
2016,ORL,Andrew Nicholson,26,1,4,-25.2,0,0,0,0,25.8,13.4,0,0,0,50,21.7,0
2016,TOR,Delon Wright,23,2,5,-24.8,0,0.5,0,0,21.7,11.1,0,0,0,33.3,25.9,-0.1
1988,DEN,Brad Wright,25,2,7,-24.7,0.2,0,0,0,15.6,7.5,0,0,0,28.6,39,-0.1
1989,UTA,Eric White,23,1,2,-24.7,0,0,0,0,0,0,0,0,0,0,21.1,0
2000,CHH,Derek Hood,23,2,4,-24.2,0,0,0,0,27.5,14.1,0,0,0,0,33.6,-0.1
2014,PHI,Darius Johnson-Odom,24,3,15,-23,0,0.429,0.286,0,15,7.2,8.5,3.2,0,20.2,27.9,-0.2
2016,ATL,Shelvin Mack,25,1,8,-22.8,0,0,0,0,26.9,13.9,0,0,0,50,22.2,-0.1
2015,DAL,Ricky Ledo,22,5,11,-22.5,0.073,0.5,0.333,9.9,10,10,11.1,0,0,22.5,36,-0.2
1998,CHH,Michael McDonald,28,1,4,-22.1,,,,30.5,0,15.1,0,0,0,100,23.1,-0.1
2007,SAC,Vitaly Potapenko,31,3,13,-22.1,0,0,0,0,18.4,9,0,0,0,33.3,20.7,-0.1
1990,MIN,Steve Johnson,32,4,17,-21.8,0,0,0,0,22.6,10.6,7.6,0,0,75,20.7,-0.2
1982,MIL,Brad Holland,25,1,9,-21.5,0,0,0.4,0,0,0,24.8,0,0,14.5,31.4,-0.1
2001,DEN,Garth Joseph,27,2,8,-21.3,0,0,0.667,0,0,0,0,0,8.6,20.5,27.2,-0.1
2008,CLE,Demetris Nichols,23,3,14,-20.8,0.125,0.375,0,0,8.4,4.1,0,0,0,20,32.4,-0.2
2003,NJN,Donny Marshall,30,3,6,-20.7,0,0.333,0,0,57.1,28.6,0,0,0,25,30.1,-0.1
2007,MIL,Chris McCray,22,5,12,-20.7,0,0,0,0,0,0,0,0,0,40,18.8,-0.1
2016,POR,Chris Kaman,33,1,4,-20.5,0,0,0,0,0,0,0,0,0,0,21.8,0
1990,PHI,Lewis Lloyd,30,2,10,-20.4,0.5,0,0,0,0,0,0,0,0,66.7,25.4,-0.1
2004,POR,Slavko Vranes,21,1,3,-20.4,0,0,0,0,0,0,0,0,0,0,15.8,0
1987,DET,John Schweitz,26,3,7,-20.3,0,0,0,0,14.9,7.7,0,0,0,66.7,17.3,-0.1
1989,PHO,Winston Crite,23,2,6,-20.3,0,0,0,18.5,0,8.9,0,0,0,25,26.4,-0.1
1990,UTA,Jim Les,26,1,6,-20.2,0.568,,,0,0,0,19.8,0,0,63,34.6,-0.1
1998,CHH,Jeff Grayer,32,1,11,-20,0,0.75,0,0,0,0,12.1,0,0,33.3,25.2,-0.1
2001,DAL,Obinna Ekezie,25,4,8,-20,0,0,0,0,27.2,14,0,0,0,0,22.7,-0.1
1997,MIL,Cuonzo Martin,25,3,13,-19.9,0,0.286,0,9.5,0,4.7,10.2,0,0,12.5,28.5,-0.2
1995,SEA,Rich King,25,2,6,-19.8,0,0,1,0,0,0,0,0,0,0,20.8,-0.1
2016,MIA,Josh Richardson,22,1,7,-19.8,0,0,0,0,0,0,0,0,0,50,13.3,0
1999,CLE,Litterial Green,28,1,2,-19.7,0,0,0,0,0,0,0,0,0,0,24.4,0
2015,PHI,Malcolm Lee,24,1,2,-19.7,0,0,0,0,0,0,0,0,0,0,21.8,0
1984,PHI,Charles Jones,26,1,3,-19.5,0.181,0,4,0,0,0,0,0,0,0,38,0
2013,DAL,Justin Dentmon,27,2,4,-19.4,0,0,0,0,0,0,0,0,0,0,22.8,0
2008,SEA,Eddie Gill,29,1,5,-18.9,0,0.5,0,0,0,0,25.4,0,0,33.3,26,-0.1
1981,WSB,Lewis Brown,25,2,5,-18.6,0.192,0,1.667,20.9,21.2,21,0,0,0,16.1,49.8,-0.1
2016,IND,Joseph Young,23,2,4,-18.6,0,0,0,0,0,0,0,0,0,100,11.1,0
2005,HOU,Vin Baker,33,3,13,-18.3,0.205,0,0.5,0,17.5,9,10.7,0,0,29.1,24.9,-0.1
2008,MEM,Jeremy Richardson,23,3,15,-18.1,0,0.333,0,0,7.5,3.7,8.6,0,0,14.3,20.7,-0.2
2011,SAC,Hassan Whiteside,21,1,2,-17.9,,,,0,0,0,0,0,0,,0,0
1995,SAC,Derrick Phelps,22,3,5,-17.3,0,0,2,0,0,0,26.3,0,0,0,16.7,0
2003,DET,Don Reid,29,1,10,-17.3,0.129,0,0.667,0,0,0,0,0,0,0,18.7,-0.1
1982,DET,Larry Wright,27,1,6,-17.2,0,0,0,0,0,0,0,0,0,50,13,0
1990,DET,Ralph Lewis,26,4,6,-17,0,0,0,0,0,0,0,0,0,50,14.3,0
1994,UTA,Sean Green,23,1,2,-17,0,0,0,0,0,0,0,0,0,0,22.1,0
2015,NOP,Russ Smith,23,6,29,-16.6,0.25,0.6,0,0,11.7,5.9,9.6,0,0,41.2,26.7,-0.3
2014,OKC,Royal Ivey,32,2,5,-16.5,0,0.5,0,0,21.5,11.3,0,0,0,0,17.7,0
1979,CHI,Andre Wakefield,24,2,8,-15.9,0,,0,0,0,0,14.2,0,0,66.7,15,-0.1
1999,ORL,Jonathan Kerner,24,1,5,-15.2,0,0,0,0,0,0,0,0,0,0,9.1,0
2000,DEN,Johnny Taylor,25,1,5,-15.2,0,0,0,0,22,10.9,0,0,0,0,17.4,0
2013,MIN,Will Conroy,30,4,20,-15.2,0.051,0.333,0.222,5.5,0,2.9,0,0,0,0,22.1,-0.2
1998,POR,Sean Higgins,29,2,12,-15.1,0,0.4,0,0,0,0,0,8.9,0,16.7,22.6,-0.1
2001,CHH,Terrance Roberson,24,3,13,-15,0,0.5,0,0,8.7,4.4,10.9,0,0,50,14.2,-0.1
1989,IND,Sedric Toney,26,2,9,-14.9,0.184,0.6,0.2,13.1,11.7,12.3,0,0,0,26.9,34.6,-0.1
1999,PHI,Casey Shaw,23,9,14,-14.9,0.125,0,0,24.4,0,12.5,0,0,0,20,32.4,-0.1
1999,ORL,Gerald Wilkins,35,3,28,-14.8,0.101,0,0.222,0,4.2,2.1,5.1,0,0,23.3,20.9,-0.2
