Team,Seasons,TeamPoints,Assists,FieldGoals,TeamName,Wins,Losses,WPct
ATL,2018,1468,357,552,Atlanta Hawks,29,53,35.40%
BOS,2018,2674,596,1005,Boston Celtics,49,33,59.80%
BRK,2018,1663,397,598,Brooklyn Nets,42,40,51.20%
CHI,2018,1597,353,580,Chicago Bulls,22,60,26.80%
CHO,2018,2759,582,989,Charlotte Hornets,39,43,47.60%
CLE,2018,3075,649,1120,Cleveland Cavaliers,19,63,23.20%
DAL,2018,1232,269,447,Dallas Mavericks,33,49,40.20%
DEN,2018,3144,758,1152,Denver Nuggets,54,28,65.90%
DET,2018,2109,459,800,Detroit Pistons,41,41,50.00%
GSW,2018,3437,887,1291,Golden State Warriors,57,25,69.50%
HOU,2018,4377,837,1518,Houston Rockets,53,29,64.60%
IND,2018,3131,672,1214,Indiana Pacers,48,34,58.50%
LAC,2018,3019,626,1111,Los Angeles Clippers,48,34,58.50%
LAL,2018,2695,617,1016,Los Angeles Lakers,37,45,45.10%
MEM,2018,1104,240,401,Memphis Grizzlies,33,49,40.20%
MIA,2018,2692,616,1018,Miami Heat,39,43,47.60%
MIL,2018,2790,639,1043,Milwaukee Bucks,60,22,73.20%
MIN,2018,2760,585,1024,Minnesota Timberwolves,36,46,43.90%
NOP,2018,3572,866,1382,New Orleans Pelicans,33,49,40.20%
NYK,2018,1241,288,473,New York Knicks,17,65,20.70%
OKC,2018,3275,649,1198,Oklahoma City Thunder,49,33,59.80%
ORL,2018,1421,332,520,Orlando Magic,42,40,51.20%
PHI,2018,3992,1030,1515,Philadelphia 76ers,51,31,62.20%
PHO,2018,759,171,279,Phoenix Suns,19,63,23.20%
POR,2018,3472,660,1287,Portland Trail Blazers,53,29,64.60%
SAC,2018,1544,342,618,Sacramento Kings,39,43,47.60%
SAS,2018,2353,508,886,San Antonio Spurs,48,34,58.50%
TOR,2018,3955,911,1466,Toronto Raptors,58,24,70.70%
UTA,2018,3550,804,1314,Utah Jazz,50,32,61.00%
WAS,2018,2516,662,954,Washington Wizards,32,50,39.00%
