Year,Tm,Player,Age,Rounded Position,WS
1999,NJN,Gheorghe Muresan,27,5,-0.1
2016,IND,Shayne Whittington,24,4,-0.1
1979,DET,Ron Behagen,28,2,0
2001,CLE,Larry Robinson,33,1,0
2006,DEN,Nene Hilario,23,4,-0.1
1987,ATL,Michael Wilson,27,1,-0.1
2007,NJN,Mile Ilic,22,5,-0.2
1999,TOR,LaMark Baker,29,1,-0.1
1989,SEA,Mike Champion,24,3,-0.1
2015,UTA,Toure' Murry,25,2,0
2007,LAC,Von Wafer,21,2,0
2014,CHA,James Southerland,23,3,-0.1
1989,SAS,John Stroeder,30,4,0
2010,CLE,Coby Karl,26,4,-0.1
1995,NJN,Yinka Dare,22,5,0
1993,LAC,Alex Stivrins,30,3,0
1986,PHI,Michael Young,25,2,0
1986,DET,Ron Crevier,27,5,0
1986,GSW,Ron Crevier,27,4,0
1989,LAC,Barry Sumpter,23,3,0
2013,BOS,Darko Milicic,27,5,-0.1
1978,CHI,Glenn Hansen,25,2,-0.1
2006,DEN,Charles Smith,30,2,0
2003,ATL,Paul Shirley,25,4,-0.1
2010,BOS,Marcus Landry,24,3,0
2016,WAS,DeJuan Blair,26,4,-0.1
2009,PHO,Courtney Sims,25,3,0
2000,LAC,Mario Bennett,26,5,-0.1
2016,ORL,Andrew Nicholson,26,4,0
2016,TOR,Delon Wright,23,2,-0.1
1988,DEN,Brad Wright,25,4,-0.1
1989,UTA,Eric White,23,2,0
2000,CHH,Derek Hood,23,4,-0.1
2014,PHI,Darius Johnson-Odom,24,2,-0.2
2016,ATL,Shelvin Mack,25,3,-0.1
2015,DAL,Ricky Ledo,22,3,-0.2
1998,CHH,Michael McDonald,28,4,-0.1
2007,SAC,Vitaly Potapenko,31,5,-0.1
1990,MIN,Steve Johnson,32,4,-0.2
1982,MIL,Brad Holland,25,1,-0.1
2001,DEN,Garth Joseph,27,5,-0.1
2008,CLE,Demetris Nichols,23,3,-0.2
2003,NJN,Donny Marshall,30,5,-0.1
2007,MIL,Chris McCray,22,2,-0.1
2016,POR,Chris Kaman,33,4,0
1990,PHI,Lewis Lloyd,30,2,-0.1
2004,POR,Slavko Vranes,21,5,0
1987,DET,John Schweitz,26,3,-0.1
1989,PHO,Winston Crite,23,3,-0.1
1990,UTA,Jim Les,26,1,-0.1
1998,CHH,Jeff Grayer,32,1,-0.1
2001,DAL,Obinna Ekezie,25,5,-0.1
1997,MIL,Cuonzo Martin,25,2,-0.2
1995,SEA,Rich King,25,5,-0.1
2016,MIA,Josh Richardson,22,2,0
1999,CLE,Litterial Green,28,1,0
2015,PHI,Malcolm Lee,24,2,0
1984,PHI,Charles Jones,26,3,0
2013,DAL,Justin Dentmon,27,1,0
2008,SEA,Eddie Gill,29,1,-0.1
1981,WSB,Lewis Brown,25,5,-0.1
2016,IND,Joseph Young,23,1,0
2005,HOU,Vin Baker,33,4,-0.1
2008,MEM,Jeremy Richardson,23,2,-0.2
2011,SAC,Hassan Whiteside,21,4,0
1995,SAC,Derrick Phelps,22,1,0
2003,DET,Don Reid,29,3,-0.1
1982,DET,Larry Wright,27,1,0
1990,DET,Ralph Lewis,26,2,0
1994,UTA,Sean Green,23,2,0
2015,NOP,Russ Smith,23,1,-0.3
2014,OKC,Royal Ivey,32,2,0
1979,CHI,Andre Wakefield,24,1,-0.1
1999,ORL,Jonathan Kerner,24,4,0
2000,DEN,Johnny Taylor,25,4,0
2013,MIN,Will Conroy,30,1,-0.2
1998,POR,Sean Higgins,29,3,-0.1
2001,CHH,Terrance Roberson,24,2,-0.1
1989,IND,Sedric Toney,26,2,-0.1
1999,PHI,Casey Shaw,23,5,-0.1
1999,ORL,Gerald Wilkins,35,2,-0.2
2004,PHO,Cezary Trybanski,24,5,-0.1
2012,MEM,Brian Skinner,35,3,0
1999,CHH,Joe Wolf,34,4,0
2016,DET,Spencer Dinwiddie,22,2,-0.1
1999,MIN,Paul Grant,25,4,-0.1
1992,CHI,Chuck Nevitt,32,5,-0.1
2011,HOU,Hasheem Thabeet,23,5,0
2016,OKC,Mitch McGary,23,4,-0.1
1979,PHI,Marlon Redmond,23,2,-0.2
2004,WAS,Jahidi White,27,4,0
1979,SDC,Scott Lloyd,26,4,-0.2
2012,WAS,Hamady N'Diaye,25,4,0
2008,HOU,Justin Williams,23,4,-0.1
2005,SEA,Ibo Kutluay,30,2,-0.1
2016,BOS,R.J. Hunter,22,2,-0.1
2009,NYK,Cheikh Samb,24,5,-0.1
1995,PHI,Alaa Abdelnaby,26,4,-0.3
1996,WSB,Mike Peplowski,25,4,0
1992,CHH,Tony Massenburg,24,4,-0.1
2000,CHH,Jason Miskiri,24,1,0
2005,DAL,Pavel Podkolzin,20,5,0
2008,CHI,Shannon Brown,22,2,-0.3
2008,SAC,Lorenzen Wright,32,3,-0.1
2016,LAC,Pablo Prigioni,38,1,-0.2
1999,POR,Brian Shaw,32,2,0
1980,SDC,John Olive,24,3,-0.1
1981,SEA,John Shumate,28,4,-0.1
2010,POR,Anthony Tolliver,24,4,0
1985,SAS,Linton Townes,25,3,-0.1
1987,LAC,Dwayne Polee,23,1,0
2015,PHO,Seth Curry,24,2,0
1996,DEN,Elmore Spencer,26,5,-0.1
2002,DAL,Darrick Martin,30,1,-0.2
1994,NJN,Dave Jamerson,26,2,-0.1
1985,LAL,Earl Jones,24,3,0
1990,ATL,Mike Williams,26,3,-0.1
2015,OKC,Grant Jerrett,21,4,-0.2
1978,KCK,Glenn Hansen,25,2,-0.1
1985,DET,Dale Wilkinson,24,4,0
1988,UTA,Darryl Dawkins,31,4,-0.2
2001,ATL,Sean Colson,25,1,-0.1
2001,IND,Lari Ketner,23,3,-0.1
1997,SAC,Lloyd Daniels,29,3,-0.2
2003,ATL,Brandon Williams,27,3,-0.2
1998,IND,Etdrick Bohannon,24,5,-0.1
2008,NJN,Billy Thomas,32,2,-0.1
2002,IND,Norm Richardson,22,2,0
1997,CHH,Eric Leckner,30,4,-0.1
1988,NJN,Johnny Moore,29,1,-0.1
2002,MIA,Ernest Brown,22,5,-0.2
1992,SAS,Tony Massenburg,24,3,0
1992,BOS,Larry Robinson,24,2,-0.1
2009,CLE,Trey Johnson,24,2,-0.1
1990,NJN,Rick Carlisle,30,1,-0.2
2000,DAL,Rodrick Rhodes,26,3,-0.1
2004,NOH,Tierre Brown,24,1,-0.2
2004,LAC,Olden Polynice,39,4,-0.1
1997,UTA,Brooks Thompson,26,1,0
2002,CHH,Eldridge Recasner,34,1,0
2003,NOH,Kirk Haston,23,4,-0.4
2011,PHO,Gani Lawal,22,3,0
2014,CHI,Jarvis Varnado,25,3,0
1990,CHI,Clifford Lett,24,1,-0.1
1992,NYK,Carlton McKinney,27,2,-0.1
1997,ATL,Derrick Alston,24,5,-0.1
2003,GSW,A.J. Guyton,24,1,-0.1
2004,DEN,Mark Pope,31,4,-0.1
1992,NYK,Patrick Eddie,24,4,-0.1
1993,ATL,Andre Spencer,28,2,-0.1
1999,DAL,Bruno Sundov,18,4,-0.1
2014,OKC,Mustafa Shakur,29,1,-0.1
2008,CHI,Cedric Simmons,22,4,-0.1
1993,MIN,Mark Randall,25,2,0
2009,LAL,Sun Yue,23,2,-0.1
1999,IND,Mark Pope,26,4,-0.1
1984,SDC,Hutch Jones,24,2,-0.1
2003,SAS,Mengke Bateer,27,5,-0.2
2009,POR,Martell Webster,22,2,0
2001,DAL,Bill Curley,28,3,-0.1
2007,UTA,Roger Powell,24,3,-0.1
2009,SAC,Cedric Simmons,23,4,-0.1
2014,SAC,Royce White,22,3,0
1990,SAC,Greg Stokes,26,4,-0.2
2016,DET,Reggie Bullock,24,2,-0.1
2004,DAL,Mamadou N'Diaye,28,5,0
2005,NOH,Lonny Baxter,26,4,-0.2
2016,TOR,Norman Powell,22,3,-0.1
1994,ORL,Anthony Cook,26,5,0
2004,GSW,Popeye Jones,33,3,0
2016,UTA,Elijah Millsap,28,3,-0.1
1985,MIL,Mark West,24,4,0
2004,DET,Hubert Davis,33,1,-0.1
2013,MEM,Dexter Pittman,24,5,-0.1
1985,MIL,Lorenzo Romar,26,1,-0.1
1989,POR,Rolando Ferreira,24,5,-0.2
1999,DEN,Monty Williams,27,3,0
2009,TOR,Nathan Jawai,22,4,-0.1
2015,LAL,Julius Randle,20,3,-0.1
1985,DAL,Howard Carter,23,2,-0.4
1983,LAL,Billy Ray Bates,26,2,-0.2
1997,SEA,Elmore Spencer,27,4,0
1998,TOR,Bob McCann,33,3,0
2012,UTA,Blake Ahearn,27,1,-0.2
2016,OKC,Kyle Singler,27,3,-0.3
1978,KCK,Andre McCarter,24,2,0
1997,GSW,Clifford Rozier,24,4,0
1999,ORL,Miles Simon,23,2,-0.1
2004,MIA,Kirk Penney,23,2,-0.1
1978,SEA,Dean Tolson,26,1,0
1985,DET,Terry Teagle,24,2,0
1986,LAC,Ozell Jones,25,4,-0.1
1987,BOS,Andre Turner,22,1,-0.1
1997,SAS,Devin Gray,24,4,-0.2
1998,POR,Dontonio Wingfield,23,5,-0.1
1994,UTA,Aaron Williams,22,4,-0.1
1987,SAC,Jerry Eaves,27,1,-0.1
1982,POR,Carl Bailey,23,3,0
1990,PHI,Dexter Shouse,26,1,-0.1
1991,CLE,Mike Woodson,32,2,-0.3
2013,NOH,Terrel Harris,25,2,-0.6
2006,MIN,Nikoloz Tskitishvili,22,4,-0.1
2013,LAL,Darius Johnson-Odom,23,4,-0.1
2004,NYK,Cezary Trybanski,24,4,0
2010,CLE,Cedric Jackson,23,1,-0.1
1990,PHO,Micheal Williams,23,1,-0.2
1995,ATL,Fred Vinson,24,1,-0.1
1998,NJN,Don MacLean,28,4,-0.2
1999,TOR,Micheal Williams,32,1,-0.1
2005,NYK,Shandon Anderson,31,2,-0.1
2014,CLE,Scotty Hopson,24,2,-0.1
2016,DET,Jodie Meeks,28,2,-0.1
2011,MIA,Dexter Pittman,22,5,-0.1
2013,PHI,Shelvin Mack,22,1,-0.1
2013,LAL,Andrew Goudelock,24,2,0
2009,MEM,Adonal Foyle,33,3,0
2010,MIL,Darnell Jackson,24,4,0
1995,ORL,Keith Tower,24,5,0
1996,ATL,Tim Kempton,32,4,0
2001,HOU,Anthony Miller,29,3,0
2006,IND,Samaki Walker,29,4,0
