,Year,Rounded Position,WS|mean
0,1978,Center,4.929999999999999
1,1978,Point guard,2.290909090909092
2,1978,Power Forward,3.0925373134328367
3,1978,Shooting guard,2.8933333333333326
4,1978,Small forward,2.3535714285714286
5,1979,Center,5.720000000000001
6,1979,Point guard,2.5955555555555563
7,1979,Power Forward,2.9655737704918033
8,1979,Shooting guard,2.5651515151515154
9,1979,Small forward,2.7592105263157896
10,1980,Center,3.7263157894736842
11,1980,Point guard,2.4447916666666663
12,1980,Power Forward,2.964102564102564
13,1980,Shooting guard,2.7758620689655173
14,1980,Small forward,2.918055555555556
15,1981,Center,4.091666666666668
16,1981,Point guard,2.066315789473684
17,1981,Power Forward,2.8578947368421055
18,1981,Shooting guard,3.2250000000000005
19,1981,Small forward,3.0519999999999996
20,1982,Center,4.439130434782609
21,1982,Point guard,2.398913043478261
22,1982,Power Forward,2.42247191011236
23,1982,Shooting guard,2.8305555555555553
24,1982,Small forward,3.0260869565217385
25,1983,Center,3.3375
26,1983,Point guard,2.471276595744681
27,1983,Power Forward,2.3822222222222225
28,1983,Shooting guard,2.537313432835821
29,1983,Small forward,3.133333333333334
30,1984,Center,3.744444444444444
31,1984,Point guard,2.7247058823529424
32,1984,Power Forward,2.796385542168675
33,1984,Shooting guard,2.53970588235294
34,1984,Small forward,3.2507692307692304
35,1985,Center,3.394285714285714
36,1985,Point guard,2.714942528735631
37,1985,Power Forward,2.673417721518988
38,1985,Shooting guard,2.7305555555555556
39,1985,Small forward,2.684057971014492
40,1986,Center,2.886046511627907
41,1986,Point guard,2.5377551020408156
42,1986,Power Forward,2.679545454545455
43,1986,Shooting guard,2.853333333333334
44,1986,Small forward,2.6061538461538465
45,1987,Center,2.7468085106382976
46,1987,Point guard,2.337777777777778
47,1987,Power Forward,3.0
48,1987,Shooting guard,2.73013698630137
49,1987,Small forward,2.5216666666666665
50,1988,Center,2.4315789473684215
51,1988,Point guard,2.555670103092784
52,1988,Power Forward,2.8855421686746983
53,1988,Shooting guard,2.221333333333333
54,1988,Small forward,2.3323529411764703
55,1989,Center,2.3826923076923077
56,1989,Point guard,2.521782178217822
57,1989,Power Forward,3.0150537634408607
58,1989,Shooting guard,2.9383561643835616
59,1989,Small forward,2.074025974025974
60,1990,Center,2.6311475409836063
61,1990,Point guard,2.409259259259259
62,1990,Power Forward,2.924731182795698
63,1990,Shooting guard,2.9812499999999997
64,1990,Small forward,2.439240506329114
65,1991,Center,2.353225806451613
66,1991,Point guard,2.935
67,1991,Power Forward,2.6290000000000004
68,1991,Shooting guard,2.6215189873417724
69,1991,Small forward,2.9378378378378374
70,1992,Center,2.692857142857143
71,1992,Point guard,2.275
72,1992,Power Forward,3.258333333333334
73,1992,Shooting guard,2.504545454545455
74,1992,Small forward,2.5726027397260274
75,1993,Center,2.6861538461538457
76,1993,Point guard,2.930303030303031
77,1993,Power Forward,2.693939393939394
78,1993,Shooting guard,2.6972972972972973
79,1993,Small forward,2.3809523809523805
80,1994,Center,2.8588235294117648
81,1994,Point guard,2.502857142857143
82,1994,Power Forward,2.618018018018018
83,1994,Shooting guard,2.7946666666666666
84,1994,Small forward,2.110588235294118
85,1995,Center,2.9265624999999997
86,1995,Point guard,2.5428571428571423
87,1995,Power Forward,2.5776699029126213
88,1995,Shooting guard,2.510958904109589
89,1995,Small forward,2.7012820512820515
90,1996,Center,2.147222222222222
91,1996,Point guard,2.6675675675675676
92,1996,Power Forward,2.326612903225807
93,1996,Shooting guard,3.050561797752809
94,1996,Small forward,2.298924731182795
95,1997,Center,1.7602409638554217
96,1997,Point guard,2.6991228070175435
97,1997,Power Forward,2.5528455284552845
98,1997,Shooting guard,2.408
99,1997,Small forward,2.430769230769231
100,1998,Center,2.722388059701493
101,1998,Point guard,2.247008547008546
102,1998,Power Forward,2.6209302325581403
103,1998,Shooting guard,2.6104166666666666
104,1998,Small forward,2.267058823529412
105,1999,Center,1.8828947368421056
106,1999,Point guard,1.4778761061946901
107,1999,Power Forward,1.4800000000000002
108,1999,Shooting guard,1.6025000000000005
109,1999,Small forward,1.5764705882352938
110,2000,Center,2.8882352941176466
111,2000,Point guard,2.3749999999999996
112,2000,Power Forward,2.4064516129032256
113,2000,Shooting guard,2.947058823529411
114,2000,Small forward,2.626436781609195
115,2001,Center,2.324096385542169
116,2001,Point guard,2.4732758620689657
117,2001,Power Forward,2.577777777777777
118,2001,Shooting guard,2.6488095238095237
119,2001,Small forward,2.4799999999999995
120,2002,Center,2.752222222222222
121,2002,Point guard,2.4545454545454555
122,2002,Power Forward,2.5870000000000006
123,2002,Shooting guard,2.4935897435897436
124,2002,Small forward,2.7086956521739127
125,2003,Center,2.7209876543209877
126,2003,Point guard,2.491089108910891
127,2003,Power Forward,2.550892857142858
128,2003,Shooting guard,2.844594594594595
129,2003,Small forward,2.884090909090909
130,2004,Center,2.691666666666667
131,2004,Point guard,2.150892857142857
132,2004,Power Forward,2.2773049645390078
133,2004,Shooting guard,2.4894117647058818
134,2004,Small forward,2.4084210526315784
135,2005,Center,2.4587628865979374
136,2005,Point guard,2.4083333333333337
137,2005,Power Forward,2.347933884297521
138,2005,Shooting guard,2.4562499999999994
139,2005,Small forward,2.354807692307693
140,2006,Center,2.4554347826086955
141,2006,Point guard,2.587962962962963
142,2006,Power Forward,2.471794871794872
143,2006,Shooting guard,2.6153846153846163
144,2006,Small forward,2.3513043478260864
145,2007,Center,2.858536585365854
146,2007,Point guard,2.5675438596491236
147,2007,Power Forward,2.2295652173913036
148,2007,Shooting guard,2.7233766233766232
149,2007,Small forward,2.7333333333333334
150,2008,Center,2.132323232323232
151,2008,Point guard,2.457758620689656
152,2008,Power Forward,2.3981481481481484
153,2008,Shooting guard,2.1284090909090914
154,2008,Small forward,2.7895652173913046
155,2009,Center,2.5000000000000004
156,2009,Point guard,2.6476635514018696
157,2009,Power Forward,2.4732283464566924
158,2009,Shooting guard,1.9621052631578946
159,2009,Small forward,2.667676767676768
160,2010,Center,2.5965116279069766
161,2010,Point guard,2.525454545454545
162,2010,Power Forward,2.828099173553719
163,2010,Shooting guard,1.9541176470588237
164,2010,Small forward,2.3880733944954136
165,2011,Center,2.405
166,2011,Point guard,2.3054545454545448
167,2011,Power Forward,2.609836065573772
168,2011,Shooting guard,2.283695652173913
169,2011,Small forward,2.0661016949152535
170,2012,Center,2.2816091954022983
171,2012,Point guard,1.81858407079646
172,2012,Power Forward,2.0880952380952382
173,2012,Shooting guard,1.7249999999999994
174,2012,Small forward,1.904761904761905
175,2013,Center,2.518279569892474
176,2013,Point guard,2.3749999999999996
177,2013,Power Forward,2.594871794871795
178,2013,Shooting guard,1.9833333333333336
179,2013,Small forward,2.5180000000000002
180,2014,Center,2.459574468085107
181,2014,Point guard,2.2684210526315787
182,2014,Power Forward,2.582608695652174
183,2014,Shooting guard,1.8344827586206898
184,2014,Small forward,2.376146788990826
185,2015,Center,3.1595959595959595
186,2015,Point guard,2.1608333333333336
187,2015,Power Forward,2.164462809917355
188,2015,Shooting guard,1.4530434782608692
189,2015,Small forward,2.127499999999999
